C:\Users\Zubru\Desktop\stores\boutiques_final.csv"\\wsl.localhost\Ubuntu\home\bischoff\projects\my-n8n-workflows\boutiques_final.csv""Store","Address Line 1","Address Line 2","City","State","ZIP","Contact Name","Contact Email","Assigned Phone Number"
"Apricot Lane Boutique – Las Vegas Blue Diamond Rd","5025 Blue Diamond Rd","Suite 109","Las Vegas","NV",89139,"Emily Carter","emily.carter@apricotlane-lv.tk",17156034341
"Apricot Lane Boutique – Henderson","4600 W Sahara Ave","Suite 100","Las Vegas","NV",89102,"Jason Lee","jason.lee@apricotlane-henderson.ml",12542726456
"Sierra Belle Boutique","3755 S Decatur Blvd",,"Las Vegas","NV",89103,"Rachel Nguyen","rachel.nguyen@sierrabelle.ga",17623395062
"Nomad Boutique – Midtown Reno","1625 E Flamingo Rd",,"Las Vegas","NV",89119,"Allison Schultz","allison.schultz@nomadboutique.cf",12254253536
"Rockin Bettie","1302 S 3rd St","Arts District","Las Vegas","NV",89104,"Amy Ortiz","amy.ortiz@rockinbettie.gq",19852833519
"Wassa Boutique Wassa Wear – Town Square","6569 Las Vegas Blvd S","Bldg Q Suite L167","Las Vegas","NV",89119,"Wassa Coulibaly","wassa.coulibaly@wassaboutique.tk",12526595818
"francescas – The Shops at Green Valley Ranch","3050 S Jones Blvd","Suite 22","Las Vegas","NV",89146,"Priya Patel","priya.patel@francescas-gvr.ml",18504468692
"Boutique Elegante","3465 S Maryland Pkwy",,"Las Vegas","NV",89169,"Terry","terry@boutiqueelegante.ga",12568702292
"JaDa Loft Boutique – NW Reno","2735 N Buffalo Dr","Suite 141","Las Vegas","NV",89128,"Monica","monica@jadaloft-nwreno.cf",17622322021
"Third & Arrow – Downtown Container Park","707 Fremont St","Ste 2090","Las Vegas","NV",89101,"Lena Brooks","lena.brooks@thirdarrow-lv.gq",13158609983
"The Dress Shop – Town Square Las Vegas","6555 Las Vegas Blvd S","Ste C-163","Las Vegas","NV",89119,"Danielle Moore","danielle.moore@thedressshop-lv.tk",12513092569
"Velvet Sparrow Boutique","4215 Spring Mountain Rd","Suite 208","Las Vegas","NV",89102,"Jasmine Ford","jasmine.ford@velvetsparrow.ga",12565636358
"Stitched","3708 Las Vegas Blvd S",,"Las Vegas","NV",89109,"Vanessa Morales",,14786664507
"Scotch & Soda","3200 Las Vegas Blvd S","Suite 1360","Las Vegas","NV",89109,"Jasmine Chen",,17626004555
"Fruition Las Vegas","4139 S Maryland Pkwy",,"Las Vegas","NV",89119,"Chris Julian",,19388882582
"Gypsy Bazaar","2101 S Decatur Blvd,",,"Las Vegas","NV",89102,"Erika Sullivan",,17622545395
"Feature Sneaker Boutique","3735 Spring Mountain Rd Suite 205",,"Las Vegas","NV",89102,"Natalie Brooks",,13348451670
"The Good Wolf Lifestyle Co.","1319 S Commerce St",,"Las Vegas","NV",89102,"Lisa Sullivan",,18102423973
"Akin Cooperative","1325 S Commerce St",,"Las Vegas","NV",89102,"Camila Ortega",,17622383695
"Urban Necessities","3500 S Las Vegas Blvd, Ste L‑13B",,"Las Vegas","NV",89109,"Danielle Price",,12513468822
"Denim Revival","3225 S Rainbow Blvd, Ste 107",,"Las Vegas","NV",89146,"Liana Fitzgerald",,15644656590
"Melrose Trading Post Vintage","7850 Melrose Ave",,"Los Angeles","CA",90046,"Sofia Martinez","sofia.martinez@melrosetradingpost.com",2135591982
"Reformation Melrose","8000 Melrose Ave",,"Los Angeles","CA",90046,"Isabella Chen","isabella.chen@reformation.com",2132634442
"American Rag Cie","150 S La Brea Ave",,"Los Angeles","CA",90036,"Maya Johnson","maya.johnson@amrag.com",2133204326
"Fred Segal Sunset","8500 Sunset Blvd",,"West Hollywood","CA",90069,"Zoe Williams","zoe.williams@fredsegal.com",2134236078
"Crossroads Trading Beverly Hills","143 S Beverly Dr",,"Beverly Hills","CA",90212,"Luna Rodriguez","luna.rodriguez@crossroadstrading.com",2132944123
"Wasteland Hollywood","7428 Melrose Ave",,"Los Angeles","CA",90036,"Aria Thompson","aria.thompson@shopwasteland.com",2137995796
"Squaresville Vintage","1800 N Vermont Ave",,"Los Angeles","CA",90027,"Violet Davis","violet.davis@squaresvillevintage.com",2136988721
"Jet Rag Vintage","825 N La Brea Ave",,"Los Angeles","CA",90038,"River Kim","river.kim@jetragshop.com",2138949058
"It's a Wrap Hollywood","3315 W Magnolia Blvd",,"Burbank","CA",91505,"Sage Anderson","sage.anderson@itsawraphollywood.com",2136987539
"Shareen Vintage","1909 W Sunset Blvd",,"Los Angeles","CA",90026,"Hazel Garcia","hazel.garcia@shareenvintage.com",2136987073
